,Player,Tm,Pos,Age,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Cmp,PassAtt,Cmp%,PassTD,TD%,Int,Int%,PassYds/A,AY/A,Y/C,PassYds/G,Rate,QBR,Sk,Sk%,RushAtt,RushYds,RushTD,RushYds/A,RushYds/G,Tgt,Rec,Ctch%,RecYds,Y/R,RecTD,Y/Tgt,R/G,RecYds/G,A/G,Touch,Y/Tch,YScm,RRTD
10,Albert Okwuegbunam,PHI,TE,25.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Alec Ingold,MIA,FB,27.0,12.0,24.9,27.9,18.4,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,13.0,0.0,119.0,9.2,0.0,7.4,0.8,7.0,0.1,15.0,7.9,119.0,0.0
12,Alec Pierce,IND,WR,23.0,63.0,95.4,98.4,79.4,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,32.0,0.0,514.0,16.1,2.0,7.9,1.9,30.2,0.0,32.0,16.1,514.0,2.0
13,Alex Armah,WAS,RB,29.0,1.0,4.3,4.3,2.8,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,13.0,4.3,0.0,4.3,0.4,1.6,0.0,3.0,4.3,13.0,0.0
14,Alex Erickson,LAC,WR,31.0,29.0,45.2,48.2,37.2,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,16.0,0.0,232.0,14.5,1.0,8.0,2.0,29.0,0.0,16.0,14.5,232.0,1.0
15,Alexander Mattison,MIN,RB,25.0,103.0,133.2,141.2,118.2,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,700.0,0.0,3.9,43.8,44.0,30.0,0.0,192.0,6.4,3.0,4.4,1.9,12.0,11.3,210.0,4.2,892.0,3.0
16,Allen Lazard,NYJ,WR,28.0,37.0,60.1,63.1,48.6,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,23.0,0.0,311.0,13.5,1.0,6.3,1.6,22.2,0.0,23.0,13.5,311.0,1.0
17,Allen Robinson,PIT,WR,30.0,28.0,62.0,65.0,45.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,34.0,0.0,280.0,8.2,0.0,5.7,2.0,16.5,0.0,34.0,8.2,280.0,0.0
18,Alvin Kamara,NOR,RB,28.0,158.0,233.0,239.0,195.5,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,694.0,5.0,3.9,53.4,86.0,75.0,0.0,466.0,6.2,1.0,5.4,5.8,35.8,13.8,255.0,4.5,1160.0,6.0
19,Amani Hooker,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,2.0,2.0,0.0
20,Amari Cooper,CLE,WR,29.0,155.0,227.0,231.0,191.0,24.0,16.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,72.0,0.0,1250.0,17.4,5.0,9.8,4.8,83.3,0.0,72.0,17.4,1250.0,5.0
21,Amari Rodgers,IND,WR,24.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Ameer Abdullah,LVR,RB,30.0,22.0,41.0,44.0,31.5,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,89.0,0.0,5.9,5.2,24.0,19.0,0.0,131.0,6.9,0.0,5.5,1.1,7.7,0.9,34.0,6.5,220.0,0.0
23,Amon-Ra St. Brown,DET,WR,24.0,212.0,330.9,334.9,271.4,78.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,0.0,6.0,1.5,164.0,119.0,0.0,1515.0,12.7,10.0,9.2,7.4,94.7,0.3,123.0,12.5,1539.0,10.0
24,Andre Baccellia,ARI,WR,26.0,0.0,0.0,0.0,0.0,0.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Andrei Iosivas,CIN,WR,24.0,36.0,50.6,53.6,43.1,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,116.0,7.7,4.0,4.6,0.9,7.3,0.0,15.0,7.7,116.0,4.0
26,Andrew Beck,HOU,FB,27.0,28.0,38.8,39.8,33.3,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,0.6,0.2,13.0,11.0,0.0,55.0,5.0,2.0,4.2,0.7,3.7,0.3,16.0,3.6,58.0,3.0
27,Andrew Ogletree,IND,TE,25.0,27.0,35.7,38.7,31.2,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.0,0.0,147.0,16.3,2.0,7.0,0.8,12.3,0.0,9.0,16.3,147.0,2.0
28,Andy Dalton,CAR,QB,36.0,24.0,23.6,26.6,23.6,0.0,53.0,0.0,34.0,58.0,58.6,2.0,3.4,0.0,0.0,6.2,6.9,10.6,120.3,88.4,48.4,3.0,4.9,3.0,12.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,12.0,0.0
29,Andy Isabella,BUF,WR,27.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Anthony Firkser,DET,TE,28.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Anthony McFarland Jr.,PIT,RB,24.0,1.0,3.1,3.1,2.1,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,11.0,5.5,0.0,5.5,0.7,3.7,0.0,2.0,5.5,11.0,0.0
32,Anthony Richardson,IND,QB,21.0,73.0,72.7,80.7,73.7,0.0,38.0,0.0,50.0,84.0,59.5,3.0,3.6,1.0,1.2,6.9,7.0,11.5,144.3,87.3,45.0,7.0,7.7,25.0,136.0,4.0,5.4,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,25.0,5.4,136.0,4.0
33,Antoine Green,DET,WR,24.0,0.0,1.2,1.2,0.7,0.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.1,0.2,0.0,1.0,2.0,2.0,0.0
34,Antonio Gibson,WAS,RB,25.0,79.0,127.4,135.4,103.4,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,265.0,1.0,4.1,16.6,59.0,48.0,0.0,389.0,8.1,2.0,6.6,3.0,24.3,4.1,113.0,5.8,654.0,3.0
35,Ashtyn Davis,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,1.5,3.0,0.0
36,Austin Ekeler,LAC,RB,28.0,134.0,185.4,195.4,159.9,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,628.0,5.0,3.5,44.9,74.0,51.0,0.0,436.0,8.5,1.0,5.9,3.6,31.1,12.8,230.0,4.6,1064.0,6.0
37,Austin Hooper,LVR,TE,29.0,23.0,48.4,51.4,35.9,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,25.0,0.0,234.0,9.4,0.0,7.5,1.5,13.8,0.0,25.0,9.4,234.0,0.0
